date,day,channel,pillar,format,hook,cta,publish_time,status,notes
2026-06-08,D1,threads,1,text,경오일주는 재물운이 좋은데 왜 늘 돈이 없을까요?,댓글에 일주 적어주시면 한 줄 봐드릴게요,19:30,planned,게시후 30분 자기답글
2026-06-08,D1,threads,2,text,연애만 시작하면 식는 분들 일지에 답이 있어요,본인 같으면 ㅇ 아니면 ㄴ,12:30,planned,오픈루프
2026-06-08,D1,threads,1,text,백호살 있으면 사납다? 사실 반대인 경우가 더 많습니다,어떻게 생각하세요?,21:00,planned,반증형
2026-06-08,D1,instagram,1,carousel,재물을 새게 하는 명식 패턴 3가지,프로필 링크에서 미니 리포트,20:00,planned,카드뉴스 5~7장 우선제작
2026-06-08,D1,kakao,4,info_post,내일 한정 미니 사주 리포트 예고,내일 안내 드릴게요,18:00,planned,무료 조직게시(광고 아님)
2026-06-09,D2,kakao,4,ad_message,막연한 불안 대신 내 사주 보는 기준 하나,폼으로 신청 송금 후 확인,10:00,planned,(광고)표기+연락처+무료 opt-out 필수 단가확인
2026-06-09,D2,threads,1,text,임수 일간은 사람이 따르는데 왜 정작 외로울까요?,당신 일간은요?,19:30,planned,
2026-06-09,D2,threads,2,text,요즘 결정이 자꾸 미뤄지는 분 올해 흐름과 관련 있을 수 있어요,댓글에 생년 적어주세요,12:30,planned,시기 단정 금지
2026-06-09,D2,instagram,3,story,당신 일주는 어느 쪽,투표 스티커,20:30,planned,3프레임
2026-06-10,D3,instagram,1,reel,재물 새는 패턴 30초 요약,프로필 링크,20:00,planned,A/B 카드뉴스 vs 자막릴스
2026-06-10,D3,youtube,1,shorts,2026 재물운 흐름 일주별 핵심,설명 고정댓글 링크,20:00,planned,키워드 제목 검색용
2026-06-10,D3,threads,1,text,재물운 좋다는 일주 3개 그런데 함정이 있어요,어느 일주 궁금하세요?,19:30,planned,후킹 3종 변형 테스트
2026-06-11,D4,tiktok,1,short,연애 식는 일지 패턴,프로필 링크,20:00,planned,승자 포맷 재활용
2026-06-11,D4,instagram,1,carousel,D3 승자 포맷 확장본,미니 리포트 신청,20:00,planned,상위 후킹 더블다운
2026-06-11,D4,kakao,3,info_post,실제 케이스로 보는 재물 흐름 해석 과정,궁금하면 상담 문의,17:00,planned,정보성 동의받은 익명사례
2026-06-12,D5,instagram,3,carousel,동의받은 후기와 해석 과정,1:1 맞춤 상담,20:00,planned,코어 전환 강화
2026-06-12,D5,instagram,1,reel,오해하는 신살 1가지,프로필 링크,20:30,planned,
2026-06-12,D5,threads,2,text,당신 사주에서 가장 강한 기운은,댓글에 일주 적어주세요,19:30,planned,라이브 답글
2026-06-13,D6,youtube,1,shorts,베스트 콘텐츠 재편집,설명 링크,20:00,planned,재게시
2026-06-13,D6,instagram,3,story,7일 한정 오퍼 마감 임박,질문 스티커,12:00,planned,시간보장 표현 금지
2026-06-13,D6,threads,1,text,이번 주 가장 반응 컸던 사주 패턴,놓쳤다면 프로필,19:30,planned,
2026-06-14,D7,instagram,1,carousel,이번 주 결산 사주 인사이트 모음,다음 주 예고,20:00,planned,결산형
2026-06-14,D7,kakao,4,info_post,다음 주 오퍼 예고,관심 있으면 알려주세요,18:00,planned,무료 조직게시
