Date,Time,Account,Content,Media URL,Labels
2026-06-08,19:30,Threads,"[text] 경오일주는 재물운이 좋은데 왜 늘 돈이 없을까요?

댓글에 일주 적어주시면 한 줄 봐드릴게요",,day:D1;pillar:1
2026-06-08,12:30,Threads,"[text] 연애만 시작하면 식는 분들 일지에 답이 있어요

본인 같으면 ㅇ 아니면 ㄴ",,day:D1;pillar:2
2026-06-08,21:00,Threads,"[text] 백호살 있으면 사납다? 사실 반대인 경우가 더 많습니다

어떻게 생각하세요?",,day:D1;pillar:1
2026-06-08,20:00,Instagram,"[carousel] 재물을 새게 하는 명식 패턴 3가지

프로필 링크에서 미니 리포트",,day:D1;pillar:1
2026-06-09,19:30,Threads,"[text] 임수 일간은 사람이 따르는데 왜 정작 외로울까요?

당신 일간은요?",,day:D2;pillar:1
2026-06-09,12:30,Threads,"[text] 요즘 결정이 자꾸 미뤄지는 분 올해 흐름과 관련 있을 수 있어요

댓글에 생년 적어주세요",,day:D2;pillar:2
2026-06-09,20:30,Instagram,"[story] 당신 일주는 어느 쪽

투표 스티커",,day:D2;pillar:3
2026-06-10,20:00,Instagram,"[reel] 재물 새는 패턴 30초 요약

프로필 링크",,day:D3;pillar:1
2026-06-10,20:00,YouTube,"[shorts] 2026 재물운 흐름 일주별 핵심

설명 고정댓글 링크",,day:D3;pillar:1
2026-06-10,19:30,Threads,"[text] 재물운 좋다는 일주 3개 그런데 함정이 있어요

어느 일주 궁금하세요?",,day:D3;pillar:1
2026-06-11,20:00,TikTok,"[short] 연애 식는 일지 패턴

프로필 링크",,day:D4;pillar:1
2026-06-11,20:00,Instagram,"[carousel] D3 승자 포맷 확장본

미니 리포트 신청",,day:D4;pillar:1
2026-06-12,20:00,Instagram,"[carousel] 동의받은 후기와 해석 과정

1:1 맞춤 상담",,day:D5;pillar:3
2026-06-12,20:30,Instagram,"[reel] 오해하는 신살 1가지

프로필 링크",,day:D5;pillar:1
2026-06-12,19:30,Threads,"[text] 당신 사주에서 가장 강한 기운은

댓글에 일주 적어주세요",,day:D5;pillar:2
2026-06-13,20:00,YouTube,"[shorts] 베스트 콘텐츠 재편집

설명 링크",,day:D6;pillar:1
2026-06-13,12:00,Instagram,"[story] 7일 한정 오퍼 마감 임박

질문 스티커",,day:D6;pillar:3
2026-06-13,19:30,Threads,"[text] 이번 주 가장 반응 컸던 사주 패턴

놓쳤다면 프로필",,day:D6;pillar:1
2026-06-14,20:00,Instagram,"[carousel] 이번 주 결산 사주 인사이트 모음

다음 주 예고",,day:D7;pillar:1
